b'chr18'	10690	10964	-0.5214	6.04e-01	0.7166	0.7403	29
b'chr18'	11135	11387	-0.3927	6.97e-01	0.6914	0.7151	16
b'chr18'	11512	12507	-0.5383	5.91e-01	0.7753	0.7930	75
b'chr18'	12528	12969	-0.2648	7.93e-01	0.8972	0.9042	14
b'chr18'	48766	48973	0.1506	8.82e-01	0.9599	0.9558	12
b'chr18'	49425	49792	0.4982	6.21e-01	0.8018	0.7754	20
b'chr18'	72948	73466	0.8412	4.03e-01	0.6614	0.6225	36
b'chr18'	73592	73952	0.1610	8.73e-01	0.7084	0.6943	15
b'chr18'	75213	75759	-1.0969	2.78e-01	0.7635	0.8277	26
b'chr18'	75864	76126	-2.1070	4.06e-02	0.5928	0.7123	24
b'chr18'	1039003	1039689	-0.1903	8.50e-01	0.9047	0.9098	16
b'chr18'	1098063	1098634	-1.3197	1.91e-01	0.9290	0.9498	42
b'chr18'	1099200	1099437	-3.1506	5.53e-03	0.9260	0.9884	10
b'chr18'	1246882	1247254	-1.0752	2.97e-01	0.6769	0.7775	10
b'chr18'	1310173	1310429	-1.1367	2.66e-01	0.9306	0.9585	14
b'chr18'	1477500	1477879	0.7879	4.37e-01	0.9511	0.9333	15
b'chr18'	1508477	1508697	-1.4859	1.55e-01	0.9243	0.9547	10
b'chr18'	1508897	1509022	-0.3463	7.33e-01	0.9603	0.9681	11
b'chr18'	1559007	1559272	-0.4832	6.34e-01	0.9409	0.9560	11
b'chr18'	1676041	1676586	-0.6123	5.47e-01	0.9190	0.9318	12
b'chr18'	1679308	1679561	-0.0643	9.49e-01	0.9265	0.9281	13
b'chr18'	1772199	1772436	0.2030	8.41e-01	0.9544	0.9499	15
b'chr18'	1793062	1793432	0.3396	7.37e-01	0.8733	0.8628	13
b'chr18'	1847211	1847584	-0.4943	6.27e-01	0.8402	0.8789	10
b'chr18'	1910706	1911320	-0.2901	7.73e-01	0.9290	0.9354	18
b'chr18'	1954962	1955467	-0.7166	4.78e-01	0.9518	0.9627	20
b'chr18'	2339782	2340105	-0.9715	3.44e-01	0.9363	0.9714	10
b'chr18'	2350505	2350894	-0.6767	5.05e-01	0.8691	0.9134	14
b'chr18'	2351126	2351816	-1.1141	2.70e-01	0.8760	0.9068	31
b'chr18'	2356223	2356526	-0.8515	4.05e-01	0.9302	0.9515	11
b'chr18'	2363796	2364138	-0.4711	6.43e-01	0.7282	0.7921	11
b'chr18'	2405990	2406277	0.0911	9.28e-01	0.8975	0.8943	16
b'chr18'	2485718	2486038	0.3145	7.56e-01	0.8826	0.8574	12
b'chr18'	2530313	2530631	-1.9885	5.74e-02	0.9363	0.9703	14
b'chr18'	2593952	2594183	-0.3630	7.20e-01	0.9027	0.9210	12
b'chr18'	2654898	2655168	-0.2674	7.92e-01	0.0175	0.0196	12
b'chr18'	2655498	2656092	1.1529	2.55e-01	0.0420	0.0294	25
b'chr18'	2657723	2658194	0.8523	4.03e-01	0.6878	0.6028	12
b'chr18'	2826620	2826938	-0.6513	5.23e-01	0.9064	0.9228	10
b'chr18'	2839367	2839649	-0.1872	8.54e-01	0.8629	0.8757	10
b'chr18'	2847962	2848166	0.3004	7.67e-01	0.0304	0.0262	10
b'chr18'	2852157	2852388	-0.3144	7.57e-01	0.9477	0.9529	10
b'chr18'	2853332	2853561	0.0465	9.63e-01	0.8913	0.8877	10
b'chr18'	2855285	2856152	-1.5323	1.31e-01	0.7283	0.8138	28
b'chr18'	2879033	2879279	0.1030	9.19e-01	0.9552	0.9522	10
b'chr18'	2880251	2880895	0.3488	7.29e-01	0.9149	0.9041	26
b'chr18'	2881535	2882110	0.0363	9.71e-01	0.8296	0.8277	18
b'chr18'	2884233	2884539	1.3665	1.86e-01	0.9901	0.9214	12
b'chr18'	2891275	2891725	-0.2437	8.10e-01	0.9756	0.9778	13
b'chr18'	2896619	2896932	0.0480	9.62e-01	0.9730	0.9722	10
b'chr18'	2905659	2906627	-0.3742	7.09e-01	0.2606	0.2879	44
b'chr18'	2906666	2906914	-0.3570	7.25e-01	0.0225	0.0270	10
b'chr18'	2907017	2907472	-0.4198	6.78e-01	0.0726	0.0842	16
b'chr18'	2909608	2910577	0.3043	7.62e-01	0.9220	0.9101	32
b'chr18'	2911131	2911329	-0.7317	4.74e-01	0.9143	0.9423	10
b'chr18'	2912122	2912757	-1.2177	2.31e-01	0.9212	0.9512	19
b'chr18'	2913025	2913306	-0.5759	5.68e-01	0.9564	0.9635	19
b'chr18'	2913715	2913971	-0.0046	9.96e-01	0.9075	0.9077	13
b'chr18'	2914216	2914658	-0.4775	6.37e-01	0.9500	0.9574	14
b'chr18'	2914975	2915174	-1.3301	1.98e-01	0.9229	0.9656	11
b'chr18'	2920039	2920481	-0.0915	9.28e-01	0.7695	0.7803	12
b'chr18'	2921110	2921573	-0.3555	7.25e-01	0.9201	0.9304	13
b'chr18'	2921840	2922170	-0.9848	3.34e-01	0.9268	0.9466	14
b'chr18'	2923856	2924115	-2.1126	4.89e-02	0.9461	0.9729	10
b'chr18'	2924956	2925389	-1.0323	3.09e-01	0.9343	0.9531	18
b'chr18'	2931183	2931435	-2.2006	3.97e-02	0.9441	0.9687	11
b'chr18'	2937530	2937846	-0.9259	3.63e-01	0.9625	0.9764	14
b'chr18'	2946432	2946602	-0.7403	4.68e-01	0.9715	0.9810	11
b'chr18'	2965996	2966466	-0.1383	8.92e-01	0.9622	0.9648	10
b'chr18'	2967437	2967804	2.0620	5.12e-02	0.9660	0.9183	12
b'chr18'	2967905	2968289	0.0607	9.52e-01	0.6707	0.6611	10
b'chr18'	3008986	3009179	0.6359	5.33e-01	0.9133	0.8819	10
b'chr18'	3010565	3011142	0.1508	8.81e-01	0.9099	0.9017	15
b'chr18'	3011287	3012046	-0.0792	9.37e-01	0.9024	0.9047	28
b'chr18'	3012288	3013261	0.1416	8.88e-01	0.0321	0.0309	33
b'chr18'	3014026	3014245	-0.0942	9.26e-01	0.5256	0.5345	13
b'chr18'	3026729	3027181	-1.3085	2.00e-01	0.9416	0.9648	17
b'chr18'	3027370	3027794	-0.0498	9.61e-01	0.9567	0.9576	11
b'chr18'	3035382	3035629	0.7090	4.87e-01	0.9804	0.9667	11
b'chr18'	3040810	3041239	-0.2174	8.30e-01	0.9402	0.9479	10
b'chr18'	3062872	3063098	-0.1391	8.91e-01	0.4893	0.5089	10
b'chr18'	3066625	3066962	-0.8971	3.77e-01	0.8880	0.9050	16
b'chr18'	3067190	3067671	0.5885	5.59e-01	0.8775	0.8535	26
b'chr18'	3082141	3082387	-1.8176	8.58e-02	0.9402	0.9724	10
b'chr18'	3087777	3088061	-0.0321	9.75e-01	0.8766	0.8802	12
